,0,1,2,3,4,5,6,7,8,9
2010-01-01 to 2010-01-14,6.478997230529785,6.490198135375977,6.386964321136475,6.375156402587891,6.417540073394775,6.360929012298584,6.288573741912842,6.37727689743042,6.3403401374816895,
2010-01-02 to 2010-01-15,6.478997230529785,6.490198135375977,6.386964321136475,6.375156402587891,6.417540073394775,6.360929012298584,6.288573741912842,6.37727689743042,6.3403401374816895,6.234381198883057
2010-01-03 to 2010-01-16,6.478997230529785,6.490198135375977,6.386964321136475,6.375156402587891,6.417540073394775,6.360929012298584,6.288573741912842,6.37727689743042,6.3403401374816895,6.234381198883057
2010-01-04 to 2010-01-17,6.478997230529785,6.490198135375977,6.386964321136475,6.375156402587891,6.417540073394775,6.360929012298584,6.288573741912842,6.37727689743042,6.3403401374816895,6.234381198883057
2010-01-05 to 2010-01-18,6.490198135375977,6.386964321136475,6.375156402587891,6.417540073394775,6.360929012298584,6.288573741912842,6.37727689743042,6.3403401374816895,6.234381198883057,
2010-01-06 to 2010-01-19,6.386964321136475,6.375156402587891,6.417540073394775,6.360929012298584,6.288573741912842,6.37727689743042,6.3403401374816895,6.234381198883057,6.510180950164795,
2010-01-07 to 2010-01-20,6.375156402587891,6.417540073394775,6.360929012298584,6.288573741912842,6.37727689743042,6.3403401374816895,6.234381198883057,6.510180950164795,6.40997314453125,
2010-01-08 to 2010-01-21,6.417540073394775,6.360929012298584,6.288573741912842,6.37727689743042,6.3403401374816895,6.234381198883057,6.510180950164795,6.40997314453125,6.299167156219482,
2010-01-09 to 2010-01-22,6.360929012298584,6.288573741912842,6.37727689743042,6.3403401374816895,6.234381198883057,6.510180950164795,6.40997314453125,6.299167156219482,5.986737251281738,
2010-01-10 to 2010-01-23,6.360929012298584,6.288573741912842,6.37727689743042,6.3403401374816895,6.234381198883057,6.510180950164795,6.40997314453125,6.299167156219482,5.986737251281738,
2010-01-11 to 2010-01-24,6.360929012298584,6.288573741912842,6.37727689743042,6.3403401374816895,6.234381198883057,6.510180950164795,6.40997314453125,6.299167156219482,5.986737251281738,
2010-01-12 to 2010-01-25,6.288573741912842,6.37727689743042,6.3403401374816895,6.234381198883057,6.510180950164795,6.40997314453125,6.299167156219482,5.986737251281738,6.14779806137085,
2010-01-13 to 2010-01-26,6.37727689743042,6.3403401374816895,6.234381198883057,6.510180950164795,6.40997314453125,6.299167156219482,5.986737251281738,6.14779806137085,6.234683513641357,
2010-01-14 to 2010-01-27,6.3403401374816895,6.234381198883057,6.510180950164795,6.40997314453125,6.299167156219482,5.986737251281738,6.14779806137085,6.234683513641357,6.293416976928711,
2010-01-15 to 2010-01-28,6.234381198883057,6.510180950164795,6.40997314453125,6.299167156219482,5.986737251281738,6.14779806137085,6.234683513641357,6.293416976928711,6.033360958099365,
