,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
2010-01-01 to 2010-01-14,-2.140101131618446,,,,,,,,,,,,,
2010-01-02 to 2010-01-15,-3.7755230160320097,,,,,,,,,,,,,
2010-01-03 to 2010-01-16,-3.7755230160320097,,,,,,,,,,,,,
2010-01-04 to 2010-01-17,-3.7755230160320097,,,,,,,,,,,,,
2010-01-05 to 2010-01-18,-3.9415890109509037,,,,,,,,,,,,,
2010-01-06 to 2010-01-19,1.929189249117264,,,,,,,,,,,,,
2010-01-07 to 2010-01-20,0.546131573010916,,,,,,,,,,,,,
2010-01-08 to 2010-01-21,-1.8445216675160643,,,,,,,,,,,,,
2010-01-09 to 2010-01-22,-5.882658968420524,,,,,,,,,,,,,
2010-01-10 to 2010-01-23,-5.882658968420524,,,,,,,,,,,,,
2010-01-11 to 2010-01-24,-5.882658968420524,,,,,,,,,,,,,
2010-01-12 to 2010-01-25,-2.238594732597847,,,,,,,,,,,,,
2010-01-13 to 2010-01-26,-2.235960364940674,,,,,,,,,,,,,
2010-01-14 to 2010-01-27,-0.7400732379574806,,,,,,,,,,,,,
2010-01-15 to 2010-01-28,-3.2243816085501145,,,,,,,,,,,,,
2010-01-16 to 2010-01-29,-10.686370798044274,,,,,,,,,,,,,
2010-01-17 to 2010-01-30,-10.686370798044274,,,,,,,,,,,,,
2010-01-18 to 2010-01-31,-10.686370798044274,,,,,,,,,,,,,
2010-01-19 to 2010-02-01,-9.444760902842258,,,,,,,,,,,,,
2010-01-20 to 2010-02-02,-7.495413119757001,,,,,,,,,,,,,
2010-01-21 to 2010-02-03,-4.24856008310478,,,,,,,,,,,,,
2010-01-22 to 2010-02-04,-2.8824386715261006,,,,,,,,,,,,,
2010-01-23 to 2010-02-05,-3.747490763691272,,,,,,,,,,,,,
2010-01-24 to 2010-02-06,-3.747490763691272,,,,,,,,,,,,,
2010-01-25 to 2010-02-07,-3.747490763691272,,,,,,,,,,,,,
2010-01-26 to 2010-02-08,-5.739521726790332,,,,,,,,,,,,,
2010-01-27 to 2010-02-09,-5.623464379980016,,,,,,,,,,,,,
2010-01-28 to 2010-02-10,-2.0924414411744365,,,,,,,,,,,,,
2010-01-29 to 2010-02-11,3.4416048882362467,,,,,,,,,,,,,
2010-01-30 to 2010-02-12,2.901468298143199,,,,,,,,,,,,,
2010-01-31 to 2010-02-13,2.901468298143199,,,,,,,,,,,,,
2010-02-01 to 2010-02-14,2.901468298143199,,,,,,,,,,,,,
2010-02-02 to 2010-02-15,2.3077975309090726,,,,,,,,,,,,,
2010-02-03 to 2010-02-16,2.0930878437398883,,,,,,,,,,,,,
2010-02-04 to 2010-02-17,5.4673730163644425,,,,,,,,,,,,,
2010-02-05 to 2010-02-18,3.821741816971036,,,,,,,,,,,,,
2010-02-06 to 2010-02-19,3.8893818492917274,,,,,,,,,,,,,
2010-02-07 to 2010-02-20,3.8893818492917274,,,,,,,,,,,,,
2010-02-08 to 2010-02-21,3.8893818492917274,,,,,,,,,,,,,
2010-02-09 to 2010-02-22,2.1561163877514007,,,,,,,,,,,,,
2010-02-10 to 2010-02-23,0.9942912246336632,,,,,,,,,,,,,
2010-02-11 to 2010-02-24,1.0016878727649956,,,,,,,,,,,,,
2010-02-12 to 2010-02-25,0.8084527058468427,,,,,,,,,,,,,
2010-02-13 to 2010-02-26,0.5997915876008484,,,,,,,,,,,,,
2010-02-14 to 2010-02-27,0.5997915876008484,,,,,,,,,,,,,
2010-02-15 to 2010-02-28,0.5997915876008484,,,,,,,,,,,,,
2010-02-16 to 2010-03-01,2.7482807370925673,,,,,,,,,,,,,
2010-02-17 to 2010-03-02,3.110331043441943,,,,,,,,,,,,,
2010-02-18 to 2010-03-03,3.153817047921934,,,,,,,,,,,,,
2010-02-19 to 2010-03-04,4.482518878499067,,,,,,,,,,,,,
2010-02-20 to 2010-03-05,9.245557038245543,,,,,,,,,,,,,
2010-02-21 to 2010-03-06,9.245557038245543,,,,,,,,,,,,,
2010-02-22 to 2010-03-07,9.245557038245543,,,,,,,,,,,,,
2010-02-23 to 2010-03-08,11.174238957677844,,,,,,,,,,,,,
2010-02-24 to 2010-03-09,11.143224673304836,,,,,,,,,,,,,
2010-02-25 to 2010-03-10,11.306929346681917,,,,,,,,,,,,,
2010-02-26 to 2010-03-11,10.204271713130543,,,,,,,,,,,,,
2010-02-27 to 2010-03-12,8.426226570190193,,,,,,,,,,,,,
2010-02-28 to 2010-03-13,8.426226570190193,,,,,,,,,,,,,
2010-03-01 to 2010-03-14,8.426226570190193,,,,,,,,,,,,,
2010-03-02 to 2010-03-15,7.177388379661077,,,,,,,,,,,,,
2010-03-03 to 2010-03-16,7.223058420298936,,,,,,,,,,,,,
2010-03-04 to 2010-03-17,6.3642455762010925,,,,,,,,,,,,,
2010-03-05 to 2010-03-18,2.603329726419857,,,,,,,,,,,,,
2010-03-06 to 2010-03-19,1.4469560986264118,,,,,,,,,,,,,
2010-03-07 to 2010-03-20,1.4469560986264118,,,,,,,,,,,,,
2010-03-08 to 2010-03-21,1.4469560986264118,,,,,,,,,,,,,
2010-03-09 to 2010-03-22,0.7756918346417727,,,,,,,,,,,,,
2010-03-10 to 2010-03-23,1.5655509988835057,,,,,,,,,,,,,
2010-03-11 to 2010-03-24,1.7161977349908568,,,,,,,,,,,,,
2010-03-12 to 2010-03-25,0.022082773212629928,,,,,,,,,,,,,
2010-03-13 to 2010-03-26,3.1540549385650976,,,,,,,,,,,,,
2010-03-14 to 2010-03-27,3.1540549385650976,,,,,,,,,,,,,
2010-03-15 to 2010-03-28,3.1540549385650976,,,,,,,,,,,,,
2010-03-16 to 2010-03-29,3.537516704058917,,,,,,,,,,,,,
2010-03-17 to 2010-03-30,5.233760495663569,,,,,,,,,,,,,
2010-03-18 to 2010-03-31,4.607174114400974,,,,,,,,,,,,,
2010-03-19 to 2010-04-01,6.173260256350563,,,,,,,,,,,,,
2010-03-20 to 2010-04-02,4.992248055496396,,,,,,,,,,,,,
2010-03-21 to 2010-04-03,4.992248055496396,,,,,,,,,,,,,
2010-03-22 to 2010-04-04,4.992248055496396,,,,,,,,,,,,,
2010-03-23 to 2010-04-05,4.435997299310737,,,,,,,,,,,,,
2010-03-24 to 2010-04-06,4.43388485623527,,,,,,,,,,,,,
2010-03-25 to 2010-04-07,6.15488983045606,,,,,,,,,,,,,
2010-03-26 to 2010-04-08,3.9194362100895463,,,,,,,,,,,,,
2010-03-27 to 2010-04-09,4.044926304959509,,,,,,,,,,,,,
2010-03-28 to 2010-04-10,4.044926304959509,,,,,,,,,,,,,
2010-03-29 to 2010-04-11,4.044926304959509,,,,,,,,,,,,,
2010-03-30 to 2010-04-12,2.73058912954658,,,,,,,,,,,,,
2010-03-31 to 2010-04-13,3.161696110071164,,,,,,,,,,,,,
2010-04-01 to 2010-04-14,4.119143356590845,,,,,,,,,,,,,
2010-04-02 to 2010-04-15,4.373340465965621,,,,,,,,,,,,,
2010-04-03 to 2010-04-16,3.7360133538726727,,,,,,,,,,,,,
2010-04-04 to 2010-04-17,3.7360133538726727,,,,,,,,,,,,,
2010-04-05 to 2010-04-18,3.7360133538726727,,,,,,,,,,,,,
2010-04-06 to 2010-04-19,3.1434861587110965,,,,,,,,,,,,,
2010-04-07 to 2010-04-20,1.6583459039989348,,,,,,,,,,,,,
2010-04-08 to 2010-04-21,8.030841843915022,,,,,,,,,,,,,
2010-04-09 to 2010-04-22,10.207189814417632,,,,,,,,,,,,,
2010-04-10 to 2010-04-23,11.779206286861456,,,,,,,,,,,,,
2010-04-11 to 2010-04-24,11.779206286861456,,,,,,,,,,,,,
2010-04-12 to 2010-04-25,11.779206286861456,,,,,,,,,,,,,
2010-04-13 to 2010-04-26,11.166118680824056,,,,,,,,,,,,,
2010-04-14 to 2010-04-27,6.6547042080160015,,,,,,,,,,,,,
2010-04-15 to 2010-04-28,5.094017466099447,,,,,,,,,,,,,
2010-04-16 to 2010-04-29,8.585281940897808,,,,,,,,,,,,,
2010-04-17 to 2010-04-30,5.674529736249403,,,,,,,,,,,,,
2010-04-18 to 2010-05-01,5.674529736249403,,,,,,,,,,,,,
2010-04-19 to 2010-05-02,5.674529736249403,,,,,,,,,,,,,
2010-04-20 to 2010-05-03,8.896484157412669,,,,,,,,,,,,,
2010-04-21 to 2010-05-04,-0.20829616760814437,,,,,,,,,,,,,
2010-04-22 to 2010-05-05,-3.9328970120428317,,,,,,,,,,,,,
